Graph_No	ID	Type	Implementation	HMM_threshold	enzyme_long	function_input	function_output	HMM_source	enzyme_ref	kegg_ortholog	Comment
1.0	Hydrogen generation	FUNCTION	hydA1 OR hydM OR hybC OR hyiB OR frhA OR hyhL OR hoxH OR hycE OR mbhL OR cooH OR EhaO OR echE OR ehfE OR hytA OR hmdl OR hydA3 OR hyd4h	NA	NA	e-	H2	NA	NA	NA	
2.0	Hydrogen oxidation	FUNCTION	hydM OR hydA2 OR hydA3 OR hytA OR hmdl OR hupL OR hynB OR hybC OR hyaB OR hyiB OR hyoL OR hcaL OR hhyL OR hyd1i OR hyd1j OR hyd1k OR hucS OR hurL OR huaL OR hyd2e OR frhA OR hyhL OR mvhA OR hoxH OR hycE OR echE OR ehb 	NA	NA	H2	e-	NA	NA	NA	
3.0	Hydrogenotrophic methanogen.	FUNCTION	(hmdl OR frhA OR mvhA OR hyd4h OR ehb) AND mer AND (mcrA OR mcrB OR mcrG)	NA	NA	H2	CH4	NA	NA	NA	
4.0	Methanogenesis	FUNCTION	mcrA OR mcrB OR mcrG	NA	NA	Methyl-CoM, CH4	CH4, Methyl-CoM	NA	NA	NA	
5.0	Hydrogenotrophic acetogen.	FUNCTION	(hydA3 OR echE OR hyd4h OR ehb) AND (fhs OR fthfs)	NA	NA	e-	Acetate	NA	NA	NA	
6.0	Acetate oxidation	FUNCTION	acs	NA	NA	Acetate	CO2, Methyl-CoM	NA	NA	NA	
7.0	Acetoclastic methanogenesis	FUNCTION	(ack AND pta) AND (mcrA OR mcrB OR mcrG)	NA	NA	Acetate	CH4	NA	NA	NA	
8.0	Acetogen. WL	FUNCTION	fhs OR fthfs	NA	NA	CO2	Acetate	NA	NA	NA	
9.0	Carbon fixation	FUNCTION	cdhD OR cdhE OR cooS OR Form_I OR Form_II OR Hbs_1 OR 4hbl OR mcr OR pcs OR aclA OR aclB OR Hbs_2	NA	NA	CO2	Organic C	NA	NA	NA	
10.0	Methylotrophic methanogen.	FUNCTION	(mtaA OR mtbA OR hyd1k OR mttB OR mtsA OR mtmB OR mtgB) AND (mcrA OR mcrB OR mcrG)	NA	NA	Organic C	CO2, Methyl-CoM	NA	NA	NA	hyd1k was added since it is usually present in hydrogen-consuming methylotrophs. it was removed from the hydrogenotrophs, even though it consumes hydrogen.
11.0	Organic carbon oxidation	FUNCTION	adh OR akr1a1 OR ldh OR mdh OR exaA OR frmA OR fdoG OR fdoH OR fdhB OR ALDH3 OR aldB OR fdhA_non_GSH OR mycoS_dep_FDH OR porA OR ACADM OR ACADL OR mcrA OR pta OR pflD OR aspB OR aspC OR hisC OR rocD OR argD OR puuE OR ilvE OR AGXT OR serC OR tyrB OR astC OR ack OR fghA OR amyA OR SGA1 OR chiC OR bglu OR lacZ OR manB OR uidA OR xynB OR pulA OR nagZ OR abfA OR treX OR gmuG OR bsdC OR racD OR xylS OR acs OR acdA OR pabC OR ubiX OR pabBC OR catA OR coxS OR coxM OR coxL OR lat OR eutG OR adhE OR bcrC OR bcrB OR bcrA OR bcrD OR treS OR bglX OR bglB OR LYSN OR lysJ OR ramA OR fadE OR DCAA OR gabT OR aamy OR aidB OR ACADSB OR fae OR CH4_NH3mon_ox_B OR CH4_NH3mon_ox_C OR yhdR OR acdH OR ebgA OR bgaB OR HEXA_B OR chiA OR ABAT OR yiay OR mxaF OR davT OR HEX OR mauA OR mauB OR xynD OR ACAD9 OR mmoB OR mmoD OR mmgC OR MAN OR cbhA OR adhA OR fdwB OR fdhA OR CH4_NH3mon_ox_A	NA	NA	Organic C	CO2	NA	NA	NA	
12.0	(Aerobic) methanotrophy	FUNCTION	pmoA OR pmoB OR pmoC OR mmoB OR mmoD	NA	NA	CH4	CO2	NA	NA	NA	was previously removed by me because it is aerobic. but now added again. 
13.0	Fermentation	FUNCTION	adh OR ldh OR porA OR pta OR pflD OR ack OR acs OR acdA OR pct	NA	NA	Organic C, Ethanol, Acetate	Ethanol, Acetate	NA	NA	NA	
14.0	Propionate oxidation	FUNCTION	mmcA AND mmcEF	NA	NA	Propionate	Acetate	NA	NA	NA	added since propionate was added as a carbon source by experimentalists. Syntrophic propionate oxidation from MCM pathway, https://doi.org/10.1093/femsre/fuab057
15.0	Ethanol oxidation	FUNCTION	adh	NA	NA	Ethanol	CO2	NA	NA	NA	
16.0	Fermentative H2 generation	FUNCTION	(hydA1 OR hycE) AND (adh OR ldh OR porA OR pta OR pflD OR ack OR acs OR acdA)	NA	NA	Ethanol, Organic C	e-	NA	NA	NA	
17.0	Organohal. Respira. 1	FUNCTION	hupL AND rdhA	NA	NA	e-	Halide Ions	NA	NA	NA	
18.0	Organohal. Respira. 2	FUNCTION	rdhA	NA	NA	Organic Halides	Halide Ions	NA	NA	NA	
19.0	Selenate reduction	FUNCTION	YgfK OR xdhD OR ygfM	NA	NA	SeO4 2-	Se	NA	NA	NA	
20.0	Sulfur respiration	FUNCTION	(hyiB OR hcaL) AND (asrC OR dsrA OR dsrB OR asrA OR asrB OR dsrD OR sor OR sreA OR sreB OR sreC)	NA	NA	e-	H2S	NA	NA	NA	
21.0	Sulfate respiration	FUNCTION	(hupL OR hynB OR hybC OR hyd1j) AND (aprA OR sat)	NA	NA	e-	SO3 2-, H2S	NA	NA	NA	
22.0	Sulfite reduction	FUNCTION	asrC OR dsrA OR dsrB OR asrA OR asrB OR dsrD	NA	NA	S	H2S	NA	NA	NA	
23.0	Polysulfide reduction	FUNCTION	psrB OR psrC OR hydG OR hydB	NA	NA	H2S	S	NA	NA	NA	
24.0	Sulfur reduction	FUNCTION	sor OR sreA OR sreB OR sreC	NA	NA	S	H2S	NA	NA	NA	
25.0	Sulfide oxidation	FUNCTION	sqr OR fccB	NA	NA	S	SO3 2-	NA	NA	NA	
26.0	Sulfur oxidation	FUNCTION	sor OR sdo	NA	NA	S2O3 2-	S, SO4 2-	NA	NA	NA	
27.0	Thiosulfate disproportionation 2	FUNCTION	(soxA OR soxX OR soxY OR soxZ) AND NOT soxD AND NOT soxC	NA	NA	S2O3 2-	SO4 2-	NA	NA	NA	
28.0	Thiosulfate oxidation	FUNCTION	(soxA OR soxX OR soxY OR soxZ) AND (soxD OR soxC)	NA	NA	S2O3 2-	H2S, SO3 2-	NA	NA	NA	
29.0	Thiosulfate disproportionation 1	FUNCTION	phsA	NA	NA	SO3 2-	SO4 2-	NA	NA	NA	
30.0	Sulfite oxidation	FUNCTION	aprA OR sat	NA	NA	SO3 2-	H2S	NA	NA	NA	
31.0	Sulfate reduction (ASR or DSR)	FUNCTION	aprA OR sat	NA	NA	SO4 2-	SO3 2-	NA	NA	NA	
32.0	Arsenate reduction	FUNCTION	arrA	NA	NA	As 5+	As 3+	NA	NA	NA	
33.0	Arsenite oxidation	FUNCTION	aioA OR arxA	NA	NA	As 3+	As 5+	NA	NA	NA	
34.0	e-input Metal respiration	FUNCTION	(hupL OR hynB) AND (CymA OR DFE_0450 OR DFE_0464 OR MtrA OR MtrB OR MtrC OR Ndh2 OR OmcF OR OmcS OR OmcZ)	NA	NA	e-	Mn 2+, Fe 2+	NA	NA	NA	
35.0	Metal Respiration	FUNCTION	CymA OR DFE_0450 OR DFE_0464 OR MtrA OR MtrB OR MtrC OR Ndh2 OR OmcF OR OmcS OR OmcZ	NA	NA	MnO2, Fe 3+	Mn 2+, Fe 2+	NA	NA	NA	
36.0	Mn oxidation	FUNCTION	MnxG	NA	NA	Mn 2+	MnO2	NA	NA	NA	
37.0	Iron oxidation	FUNCTION	Cyc1 OR Cyc2_rc1 OR Cyc2_rc2 OR Cyc2_rc3 OR FoxA OR FoxB OR FoxC OR FoxE OR FoxY OR FoxZ OR MtoA OR soxE	NA	NA	Fe 2+	Fe 3+	NA	NA	NA	
38.0	Nitrate respiration or denitrification	FUNCTION	(hynB OR hybC) AND (nirB OR nirD OR nas OR nirK OR nirS OR octR OR norC OR norB OR nosD OR nosZ)	NA	NA	e-	NO2-, NO, N2O, N2	NA	NA	NA	
39.0	Assimilatory nitrate red.	FUNCTION	nirB OR nirD OR nas	NA	NA	NO3-, NO2-	NO2-, NH3	NA	NA	NA	
40.0	Dissimilatory nitrate red.	FUNCTION	narG OR narH OR napA OR napB OR nrfD	NA	NA	NO3-, NO2-	NO2-, NH3	NA	NA	NA	
41.0	Ammonia oxidation	FUNCTION	amoA OR amoB OR amoC	NA	NA	NH3	NO2-	NA	NA	NA	
42.0	Nitrite oxidation	FUNCTION	nxrA OR nxrB	NA	NA	NO2-	NO3-	NA	NA	NA	
43.0	Nitrite reduction	FUNCTION	TIGR00314.hmm	NA	NA	NO2-	NO	NA	NA	NA	
44.0	Nitric oxide dismutase	FUNCTION	nod	NA	NA	NO	N2	NA	NA	NA	
45.0	Nitric oxide reduction	FUNCTION	norC OR norB	NA	NA	NO	N2O	NA	NA	NA	
46.0	Nitrous oxide reduction	FUNCTION	nosD OR nosZ	NA	NA	N2O	N2	NA	NA	NA	
47.0	Anammox	FUNCTION	hzsA OR hzoA	NA	NA	NO2-, NH3	N2	NA	NA	NA	
48.0	Nitrite ammonification	FUNCTION	nirB OR nirD OR nrfA OR nrfD OR nrfH	NA	NA	NO3-	NH3	NA	NA	NA	
49.0	Nitrogen fixation	FUNCTION	gcd OR ppk1 OR ppa OR ppx OR pqqC	NA	NA	N2	NH3, H2	NA	NA	NA	
50.0	P dissolution	FUNCTION	anfG OR nifD OR nifH OR nifK OR vnfD OR vnfK OR vnfG OR anfD OR anfK	NA	NA	P insol	P inorg	NA	NA	NA	
51.0	Immobilisation (P-rich)	FUNCTION	PitA	NA	NA	P inorg	P org	NA	NA	NA	
52.0	Immobilisation (P-poor)	FUNCTION	PstS	NA	NA	P inorg	P org	NA	NA	NA	
53.0	P mineralisation	FUNCTION	phoA OR olpA OR 3-phytase OR appA OR phoD OR PhnD OR aphA OR phnL OR phnK OR PhnM OR PhnJ OR phnI OR phnH OR phnG OR phoX OR phoN OR PhnX OR PhnW OR PhnA OR PhnZ	NA	NA	P org	P inorg	NA	NA	NA	
54.0	Hydrogen sensing	FUNCTION	hydS1 OR hydS2 OR hydS3 OR hupV	NA	NA	H2	e-	NA	NA	NA	added to estimate h2 sensing potential (and to keep these hydrogenases and their thresholds in this doc). h2 sensing as described in hydDB paper. 
1.1	hydA1	HMM	hydrogenase_FeFeGroupA1.hmm	188|domain	hydrogenase [FeFe] A1	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	K00532	
1.2	hydM	HMM	hydrogenase_FeFeGroupB.hmm	227|domain	hydrogenase [FeFe] B	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	
1.3	hybC	HMM	hydrogenase_NiFeGroup1c.hmm	785|domain	hydrogenase [NiFe] 1c	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	
1.4	hyiB	HMM	hydrogenase_NiFeGroup1e.hmm	969|domain	hydrogenase [NiFe] 1e	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	
1.5	frhA	HMM	hydrogenase_NiFeGroup3a.hmm	246|domain	hydrogenase [NiFe] 3a	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	
1.6	hyhL	HMM	hydrogenase_NiFeGroup3b.hmm	332|domain	hydrogenase [NiFe] 3b	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	
1.7	hoxH	HMM	hydrogenase_NiFeGroup3d.hmm	595|domain	hydrogenase [NiFe] 3d	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	
1.8	hycE	HMM	hydrogenase_NiFeGroup4a.hmm	738|domain	hydrogenase [NiFe] 4a	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	recent evidence suggests not only h2 evolution. but also h2 oxidation function for group 4a hydrogenases. https://doi.org/10.1016/j.ijhydene.2020.10.070
1.9	mbhL	HMM	hydrogenase_NiFeGroup4b.hmm	792|domain	hydrogenase [NiFe] 4b	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	
1.10	cooH	HMM	hydrogenase_NiFeGroup4c.hmm	416|domain	hydrogenase [NiFe] 4c	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	
1.11	EhaO	HMM	hydrogenase_NiFeGroup4d.hmm	465|domain	hydrogenase [NiFe] 4d	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	
1.12	echE	HMM	hydrogenase_NiFeGroup4e.hmm	448|domain	hydrogenase [NiFe] 4e	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	
1.13	ehfE	HMM	hydrogenase_NiFeGroup4f.hmm	534|domain	hydrogenase [NiFe] 4f	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	
1.14	hytA	HMM	hydrogenase_FeFeGroupA4.hmm	605|domain	hydrogenase [FeFe] A4	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	
1.15	hmdl	HMM	hydrogenase_FeGroupFe.hmm	583|domain	hydrogenase [Fe] Fe	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	
1.16	hydA3	HMM	hydrogenase_FeFeGroupA3.hmm	321|domain	hydrogenase [FeFe] A3	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	
1.17	hyd4h	HMM	hydrogenase_NiFeGroup4h.hmm	367|domain	hydrogenase [NiFe] 4h	NA	NA	doi: 10.3389/fbinf.2022.918853	https://doi.org/10.1371/journal.pone.0215029	KEGG TOO UNSPECIFIC	
2.1	hydM	HMM	hydrogenase_FeFeGroupB.hmm	227|domain	hydrogenase [FeFe] B	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	
2.2	hydA2	HMM	hydrogenase_FeFeGroupA2.hmm	820|domain	hydrogenase [FeFe] A2	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	A2 plays mainly a « sensing » role. so it does oxidise some H2 but does not really consume in bulk. 
2.3	hydA3	HMM	hydrogenase_FeFeGroupA3.hmm	321|domain	hydrogenase [FeFe] A3	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	
2.4	hytA	HMM	hydrogenase_FeFeGroupA4.hmm	605|domain	hydrogenase [FeFe] A4	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	
2.5	hmdl	HMM	hydrogenase_FeGroupFe.hmm	583|domain	hydrogenase [Fe] Fe	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	
2.6	hupL	HMM	hydrogenase_NiFeGroup1a.hmm	574|domain	hydrogenase [NiFe] 1a	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	
2.7	hynB	HMM	hydrogenase_NiFeGroup1b.hmm	799|domain	hydrogenase [NiFe] 1b	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	
2.8	hybC	HMM	hydrogenase_NiFeGroup1c.hmm	785|domain	hydrogenase [NiFe] 1c	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	
2.9	hyaB	HMM	hydrogenase_NiFeGroup1d.hmm	902|domain	hydrogenase [NiFe] 1d	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	
2.10	hyiB	HMM	hydrogenase_NiFeGroup1e.hmm	969|domain	hydrogenase [NiFe] 1e	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	
2.11	hyoL	HMM	hydrogenase_NiFeGroup1f.hmm	929|domain	hydrogenase [NiFe] 1f	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	
2.12	hcaL	HMM	hydrogenase_NiFeGroup1g.hmm	551|domain	hydrogenase [NiFe] 1g	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	
2.13	hhyL	HMM	hydrogenase_NiFeGroup1h.hmm	853|domain	hydrogenase [NiFe] 1h	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	
2.14	hyd1i	HMM	hydrogenase_NiFeGroup1i.hmm	559|domain	hydrogenase [NiFe] 1i	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	
2.15	hyd1j	HMM	hydrogenase_NiFeGroup1j.hmm	321|domain	hydrogenase [NiFe] 1j	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	
2.16	hyd1k	HMM	hydrogenase_NiFeGroup1k.hmm	211|domain	hydrogenase [NiFe] 1k	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	
2.17	hucS	HMM	hydrogenase_NiFeGroup2a.hmm	486|domain	hydrogenase [NiFe] 2a	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	
2.18	hurL	HMM	hydrogenase_NiFeGroup2c.hmm	550|domain	hydrogenase [NiFe] 2c	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	
2.19	huaL	HMM	hydrogenase_NiFeGroup2d.hmm	322|domain	hydrogenase [NiFe] 2d	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	
2.20	hyd2e	HMM	hydrogenase_NiFeGroup2e.hmm	466|domain	hydrogenase [NiFe] 2e	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	
2.21	frhA	HMM	hydrogenase_NiFeGroup3a.hmm	246|domain	hydrogenase [NiFe] 3a	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	
2.22	hyhL	HMM	hydrogenase_NiFeGroup3b.hmm	332|domain	hydrogenase [NiFe] 3b	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	
2.23	mvhA	HMM	hydrogenase_NiFeGroup3c.hmm	609|domain	hydrogenase [NiFe] 3c	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	
2.24	hoxH	HMM	hydrogenase_NiFeGroup3d.hmm	595|domain	hydrogenase [NiFe] 3d	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	
2.25	hycE	HMM	hydrogenase_NiFeGroup4a.hmm	738|domain	hydrogenase [NiFe] 4a	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	recent evidence suggests not only h2 evolution. but also h2 oxidation function for group 4a hydrogenases. https://doi.org/10.1016/j.ijhydene.2020.10.070
2.26	echE	HMM	hydrogenase_NiFeGroup4e.hmm	448|domain	hydrogenase [NiFe] 4e	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	
2.27	ehb	HMM	hydrogenase_NiFeGroup4i.hmm	336|domain	hydrogenase [NiFe] 4i	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	
3.1	hmdl	HMM	hydrogenase_FeGroupFe.hmm	583|domain	hydrogenase [Fe] Fe	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	
3.2	frhA	HMM	hydrogenase_NiFeGroup3a.hmm	246|domain	hydrogenase [NiFe] 3a	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	
3.3	mvhA	HMM	hydrogenase_NiFeGroup3c.hmm	609|domain	hydrogenase [NiFe] 3c	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	
3.4	hyd4h	HMM	hydrogenase_NiFeGroup4h.hmm	367|domain	hydrogenase [NiFe] 4h	NA	NA	doi: 10.3389/fbinf.2022.918853	https://doi.org/10.1371/journal.pone.0215029	KEGG TOO UNSPECIFIC	
3.5	ehb	HMM	hydrogenase_NiFeGroup4i.hmm	336|domain	hydrogenase [NiFe] 4i	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	
3.6	mer	HMM	TIGR03555.1.hmm	348.7|domain	5.10-Methylenetetrahydromethanopterin reductase (Mer)	NA	NA	https://www.ncbi.nlm.nih.gov/genome/annotation_prok/evidence/TIGR03355/	https://doi.org/10.1110/ps.041289805	K00320	Specific marker for CO₂-dependent methanogenesis
3.7	mcrA	HMM	TIGR03256.hmm	314.45|full	methyl-coenzyme M reductase alpha subunit	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00399	
3.8	mcrB	HMM	TIGR03257.hmm	173.35|full	methyl-coenzyme M reductase beta subunit	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00401	
3.9	mcrG	HMM	TIGR03259.hmm	172|full	methyl coenzyme M (methyl-CoM) reductase G	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00402	
4.1	mcrA	HMM	TIGR03256.hmm	314.45|full	methyl-coenzyme M reductase alpha subunit	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00399	
4.2	mcrB	HMM	TIGR03257.hmm	173.35|full	methyl-coenzyme M reductase beta subunit	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00401	
4.3	mcrG	HMM	TIGR03259.hmm	172|full	methyl coenzyme M (methyl-CoM) reductase G	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00402	
