Graph_No	ID	Type	Implementation	HMM_threshold	enzyme_long	function_input	function_output	HMM_source	enzyme_ref	kegg_ortholog	Comment
11.79	CH4_NH3mon_ox_C	HMM	TIGR03078.hmm	280.6|full	methane/ammonia monooxygenase subunit C	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K10946	
11.80	yhdR	HMM	K11358.hmm	342.60|full	aspartate/tyrosine/aromatic aminotransferase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K11358	
11.81	acdH	HMM	K11410.hmm	510.67|domain	acyl-CoA dehydrogenase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K11410	
11.82	ebgA	HMM	K12111.hmm	1274.03|domain	beta-galactosidase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K12111	
11.83	bgaB	HMM	K12308.hmm	225.67|domain	beta-galactosidase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K12308	
11.84	HEXA_B	HMM	K12373.hmm	86.50|full	hexosaminidase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K12373	
11.85	chiA	HMM	K13381.hmm	339.03|domain	Bifunctonal chitiniase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K13381	
11.86	ABAT	HMM	K13524.hmm	436.80|full	4-aminobutyrate aminotransferase and related aminotransferases	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K13524	
11.87	yiay	HMM	K13954.hmm	504.00|domain	alcohol dehydrogenase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K13954	
11.88	mxaF	HMM	methanol_dehydrogenase_pqq_xoxF_mxaF.hmm	400|full	methanol dehydrogenase (cytochrome c) subunit 1	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K14028	
11.89	davT	HMM	K14268.hmm	825.23|full	5-aminovalerate/4-aminobutyrate aminotransferase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K14268	
11.90	HEX	HMM	K14459.hmm	200.80|full	hexosaminidase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K14459	
11.91	mauA	HMM	TIGR02659.hmm	85.80|full	methylamine dehydrogenase light chain	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K15228	
11.92	mauB	HMM	TIGR02658.hmm	90.50|full	methylamine dehydrogenase heavy chain	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K15229	
11.93	xynD	HMM	K15921.hmm	225.70|domain	arabinosidase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K15921	
11.94	ACAD9	HMM	K15980.hmm	782.47|full	acyl-CoA dehydrogenase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K15980	
11.95	mmoB	HMM	PF02406.hmm	10|full	methane monooxygenase regulatory protein B	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K16160	
11.96	mmoD	HMM	TIGR04550.hmm	28.00|full	methane monooxygenase component D	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K16162	
11.97	mmgC	HMM	K18244.hmm	576.53|domain	acyl-CoA dehydrogenase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K18244	
11.98	MAN	HMM	K19355.hmm	100.53|full	mannan endo-1.4-beta-mannosidase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K19355	
11.99	cbhA	HMM	K19668.hmm	225.47|domain	cellobiosidase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K19668	
11.100	adhA	HMM	K22473.hmm	1290.63|full	alcohol dehydrogenase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K22473	
11.101	fdwB	HMM	K22515.hmm	555.20|domain	formate dehydrogenase beta subunit	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K22515	
11.102	fdhA	HMM	K22516.hmm	937.40|full	formate dehydrogenase (coenzyme F420) alpha subunit	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K22516	
11.103	CH4_NH3mon_ox_A	HMM	TIGR03080.hmm	318.1|full	methane/ammonia monooxygenase subunit A	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K16157	
12.1	mmoD	HMM	TIGR04550.hmm	28.00|full	methane monooxygenase component D	NA	NA				
12.2	mmoB	HMM	PF02406.hmm	10|full	methane monooxygenase regulatory protein B	NA	NA				
12.3	pmoC	HMM	pmoC.hmm	136.27|full	Partculate methane monooxygenase C	NA	NA				
12.4	pmoB	HMM	pmoB.hmm	156.70|full	Partculate methane monooxygenase B	NA	NA				
12.5	pmoA	HMM	pmoA.hmm	160.90|full	Partculate methane monooxygenase A	NA	NA				
13.1	adh	HMM	K00001.hmm	336.20|domain	alcohol dehydrogenase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00001	
13.2	ldh	HMM	K00016.hmm	317.10|full	L-lactate dehydrogenase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00016	
13.3	porA	HMM	K00169.hmm	299.20|full	pyruvate ferredoxin oxidoreductase alpha subunit	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00169	
13.4	pta	HMM	TIGR00651.hmm	205.40|full	phosphate acetyltransferase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00625	
13.5	pflD	HMM	K00656.hmm	336.47|full	formate C-acetyltransferase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00656	
13.6	ack	HMM	TIGR00016.hmm	146.10|full	acetate kinase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00925	
13.7	acs	HMM	TIGR02188.hmm	684.65|full	acetyl-CoA synthetase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K01895	
13.8	acdA	HMM	TIGR02717.hmm	463.00|full	acetyl coenzyme A synthetase (ADP forming). alpha domain	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K01905	
13.9	pct	HMM	K01026.hmm	23|domain	Propionate-CoA transferase	NA	NA	Kegg-database 		K01026	(added since experimentalists added propionate to medium)
14.1	mmcA	HMM	K01604.hmm	835|domain							
14.2	mmcEF	HMM	K01847.hmm	706|full							changed threshold to 706| full instead of 630(arnaud) since that is the official threshold from koalafam where i downloaded the hmm
15.1	adh	HMM	K00001.hmm	336.20|domain	alcohol dehydrogenase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00001	
16.1	hydA1	HMM	hydrogenase_FeFeGroupA1.hmm	188|domain	hydrogenase [FeFe] A1	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	K00532	
16.2	hycE	HMM	hydrogenase_NiFeGroup4a.hmm	738|domain	hydrogenase [NiFe] 4a	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	
16.3	adh	HMM	K00001.hmm	336.20|domain	alcohol dehydrogenase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00001	
16.4	ldh	HMM	K00016.hmm	317.10|full	L-lactate dehydrogenase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00016	
16.5	porA	HMM	K00169.hmm	299.20|full	pyruvate ferredoxin oxidoreductase alpha subunit	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00169	
16.6	pta	HMM	TIGR00651.hmm	205.40|full	phosphate acetyltransferase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00625	
16.7	pflD	HMM	K00656.hmm	336.47|full	formate C-acetyltransferase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00656	
16.8	ack	HMM	TIGR00016.hmm	146.10|full	acetate kinase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00925	
16.9	acs	HMM	TIGR02188.hmm	684.65|full	acetyl-CoA synthetase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K01895	
16.10	acdA	HMM	TIGR02717.hmm	463.00|full	acetyl coenzyme A synthetase (ADP forming). alpha domain	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K01905	
17.1	hupL	HMM	hydrogenase_NiFeGroup1a.hmm	574|domain	hydrogenase [NiFe] 1a	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	
17.2	rdhA	HMM	PF13486.hmm	24.3|domain	reductive dehalogenase subunit	NA	NA	https://www.ebi.ac.uk/interpro/entry/pfam/PF13486/logo/	doi: 10.1186/s40168-025-02147-1	K21647	
18.1	rdhA	HMM	PF13486.hmm	24.3|domain	reductive dehalogenase subunit	NA	NA	https://www.ebi.ac.uk/interpro/entry/pfam/PF13486/logo/	doi: 10.1186/s40168-025-02147-1	K21647	
19.1	YgfK	HMM	TIGR03315.hmm	354.45|full	putative selenate reductase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K12527	
19.2	xdhD	HMM	TIGR03313.hmm	526.50|full	putative selenate reductase molybdopterin-binding subunit	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K12528	
19.3	ygfM	HMM	TIGR03312.hmm	87.85|full	putative selenate reductase FAD-binding subunit	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K12529	
20.1	hyiB	HMM	hydrogenase_NiFeGroup1e.hmm	969|domain	hydrogenase [NiFe] 1e	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	
20.2	hcaL	HMM	hydrogenase_NiFeGroup1g.hmm	551|domain	hydrogenase [NiFe] 1g	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	
20.3	asrC	HMM	asrC.hmm	324.10|full	anaerobic sulfite reductase subunit C	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00385	
20.4	dsrA	HMM	dsrA.hmm	200.00|full	dissimilatory sulfite reductase alpha subunit	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K11180	
20.5	dsrB	HMM	dsrB.hmm	204.00|full	dissimilatory sulfite reductase beta subunit	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K11181	
20.6	asrA	HMM	asrA.hmm	323.15|full	anaerobic sulfite reductase subunit A	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K16950	
20.7	asrB	HMM	asrB.hmm	288.60|full	anaerobic sulfite reductase subunit B	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K16951	
20.8	dsrD	HMM	dsrD.hmm	32.80|full	dissimilatory sulfite reductase delta subunit	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		NOT LISTED IN KEGG	
20.9	sor	HMM	K16952.hmm	363.87|full	sulfur oxygenase/reductase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K16952	
20.10	sreA	HMM	K17219.hmm	1889.97|full	sulfur reductase molybdopterin subunit	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K17219	
20.11	sreB	HMM	K17220.hmm	474.53|full	sulfur reductase FeS subunit	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K17220	
20.12	sreC	HMM	K17221.hmm	288.03|full	sulfur reductase membrane anchor	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K17221	
21.1	hupL	HMM	hydrogenase_NiFeGroup1a.hmm	574|domain	hydrogenase [NiFe] 1a	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	
21.2	hynB	HMM	hydrogenase_NiFeGroup1b.hmm	799|domain	hydrogenase [NiFe] 1b	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	
21.3	hybC	HMM	hydrogenase_NiFeGroup1c.hmm	785|domain	hydrogenase [NiFe] 1c	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	
21.4	hyd1j	HMM	hydrogenase_NiFeGroup1j.hmm	321|domain	hydrogenase [NiFe] 1j	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	
21.5	aprA	HMM	aprA.hmm	641.75|full	adenylylsulfate reductase. subunit A	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00394	
21.6	sat	HMM	TIGR00339.hmm	181.80|full	sulfate adenylyltransferase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00958	
22.1	asrC	HMM	asrC.hmm	324.10|full	anaerobic sulfite reductase subunit C	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00385	
22.2	dsrA	HMM	dsrA.hmm	200.00|full	dissimilatory sulfite reductase alpha subunit	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K11180	
22.3	dsrB	HMM	dsrB.hmm	204.00|full	dissimilatory sulfite reductase beta subunit	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K11181	
22.4	asrA	HMM	asrA.hmm	323.15|full	anaerobic sulfite reductase subunit A	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K16950	
22.5	asrB	HMM	asrB.hmm	288.60|full	anaerobic sulfite reductase subunit B	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K16951	
22.6	dsrD	HMM	dsrD.hmm	32.80|full	dissimilatory sulfite reductase delta subunit	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		NOT LISTED IN KEGG	
23.1	psrB	HMM	K16293.hmm	266.90|full	polysulfide reductase chain B	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K16293	
23.2	psrC	HMM	K16294.hmm	305.90|full	polysulfide reductase chain C	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K16294	
23.3	hydG	HMM	K17995.hmm	451.47|full	sulfhydrogenase subunit gamma (sulfur reductase)	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K17995	
23.4	hydB	HMM	K17996.hmm	398.57|full	sulfhydrogenase subunit beta (sulfur reductase)	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K17996	
24.1	sor	HMM	K16952.hmm	363.87|full	sulfur oxygenase/reductase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K16952	
24.2	sreA	HMM	K17219.hmm	1889.97|full	sulfur reductase molybdopterin subunit	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K17219	
24.3	sreB	HMM	K17220.hmm	474.53|full	sulfur reductase FeS subunit	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K17220	
24.4	sreC	HMM	K17221.hmm	288.03|full	sulfur reductase membrane anchor	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K17221	
25.1	sqr	HMM	sulfide_quinone_oxidoreductase_sqr.hmm	300|full	sulfide:quinone oxidoreductase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K17218	
25.2	fccB	HMM	PF09242.hmm	266|full	flavocytochrome c sulphide dehydrogenase. flavin-binding	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K17229	
26.1	sor	HMM	PF07682.hmm	300|full	sulfur oxygenase/reductase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K16952	
26.2	sdo	HMM	sulfur_dioxygenase_sdo.hmm	120|full	sulfur dioxygenase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K17725	
27.1	soxA	HMM	soxA.hmm	110.00|full	L-cysteine S-thiosulfotransferase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K17222	
27.2	soxX	HMM	soxX.hmm	61.00|full	L-cysteine S-thiosulfotransferase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K17223	
27.3	soxY	HMM	soxY.hmm	125.00|full	sulfur-oxidizing protein SoxY	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K17226	
27.4	soxZ	HMM	soxZ.hmm	76.00|full	sulfur-oxidizing protein SoxZ	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K17227	
27.5	soxD	HMM	soxD.hmm	90.00|full	S-disulfanyl-L-cysteine oxidoreductase SoxD	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K22622	
27.6	soxC	HMM	soxC.hmm	320.00|full	sulfane dehydrogenase subunit SoxC	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K17225	
28.1	soxA	HMM	soxA.hmm	110.00|full	L-cysteine S-thiosulfotransferase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K17222	
28.2	soxX	HMM	soxX.hmm	61.00|full	L-cysteine S-thiosulfotransferase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K17223	
28.3	soxY	HMM	soxY.hmm	125.00|full	sulfur-oxidizing protein SoxY	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K17226	
28.4	soxZ	HMM	soxZ.hmm	76.00|full	sulfur-oxidizing protein SoxZ	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K17227	
28.5	soxD	HMM	soxD.hmm	90.00|full	S-disulfanyl-L-cysteine oxidoreductase SoxD	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K22622	
28.6	soxC	HMM	soxC.hmm	320.00|full	sulfane dehydrogenase subunit SoxC	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K17225	
29.1	phsA	HMM	thiosulfate_reductase_phsA.hmm	323|full	thiosulfate reductase / polysulfide reductase chain A	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K08352	
30.1	aprA	HMM	aprA.hmm	641.75|full	adenylylsulfate reductase. subunit A	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00394	
30.2	sat	HMM	TIGR00339.hmm	181.80|full	sulfate adenylyltransferase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00958	
31.1	aprA	HMM	aprA.hmm	641.75|full	adenylylsulfate reductase. subunit A	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00394	
31.2	sat	HMM	TIGR00339.hmm	181.80|full	sulfate adenylyltransferase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K00958	
32.1	arrA	HMM	arrA.hmm	175|full	dissimilatory arsenate reductase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K28466	
33.1	aioA	HMM	aioA.hmm	800|full	arsenite oxidase large subunit	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K08356	
33.2	arxA	HMM	arxA.hmm	600|full	arsenite oxidase (molybdopterin subunit)	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K08356. K08355	
34.1	hupL	HMM	hydrogenase_NiFeGroup1a.hmm	574|domain	hydrogenase [NiFe] 1a	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	
34.2	hynB	HMM	hydrogenase_NiFeGroup1b.hmm	799|domain	hydrogenase [NiFe] 1b	NA	NA	doi: 10.3389/fbinf.2022.918853	DOI: 10.1038/srep34212	KEGG TOO UNSPECIFIC	
34.3	CymA	HMM	CymA.hmm	237|full	CymA (tetrahaem cytochrome c) is a member of the NapC/NirT family	NA	NA	https://doi.org/10.1186/s40168-021-01213-8	https://doi.org/10.1042/BJ20120197	(napC) K02569 (cymA absent)	CymA transfers electrons from menaquinol to various dedicated systems for the reduction of terminal electron acceptors including fumarate and insoluble minerals of Fe(III). The Kegg ortholog is for the NapC/NirT family. including cymA. but not only cymA specifically. The publication https://www.doi.org/10.1099/mic.0.000285 shows that NapC and cycA do NOT have the same function. 
34.4	DFE_0450	HMM	DFE_0450.hmm	30|full	cytochrome omcS-like	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		NOT LISTED IN KEGG	kegg identifier (not ortholog): GEO60473_04720. OmcS also functions in direct inter-species electron transfer (https://doi.org/10.1038/s41396-018-0193-y)
34.5	DFE_0464	HMM	DFE_0464.hmm	25|full	cytochrome omcS-like	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		NOT LISTED IN KEGG	
34.6	MtrA	HMM	MtrA.hmm	140|full	Extracelllular iron oxide respiratory system periplasmic decaheme cytochrome c component 	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K28380	
34.7	MtrB	HMM	MtrB_TIGR03509.hmm	240.05|full	Tetrahydromethanopterin S-methyltransferase subunit B	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K28381	
34.8	MtrC	HMM	MtrC_TIGR03507.hmm	209.3|full	Tetrahydromethanopterin S-methyltransferase subunit C	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		(?) K28382	
34.9	Ndh2	HMM	Ndh2.hmm	40|full	Type II NADH dehydrogenase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K05573	
